	counts
PLA2G2E	0.0
PLA2G2A	23.0
PLA2G5	13.0
PLA2G2D	2.0
PLA2G2F	0.0
PLA2G2C	22.0
UBXN10	55.0
VWA5B1	1.0
CAMK2N1	116.0
MUL1	186.0
FAM43B	5.0
CDA	16.0
PINK1	282.0
DDOST	972.0
KIF17	5.0
SH2D5	9.0
HP1BP3	868.0
EIF4G3	269.0
ECE1	333.0
NBPF3	35.0
ALPL	62.0
ENSG00000289715	0.0
RAP1GAP	125.0
USP48	192.0
LDLRAD2	9.0
HSPG2	608.0
CELA3B	0.0
CELA3A	0.0
CDC42	1191.0
WNT4	91.0
ZBTB40	39.0
EPHA8	0.0
C1QA	790.0
C1QC	134.0
C1QB	510.0
EPHB2	77.0
LACTBL1	0.0
TEX46	1.0
KDM1A	204.0
LUZP1	80.0
HTR1D	0.0
HNRNPR	536.0
ZNF436	65.0
TCEA3	122.0
ASAP3	60.0
E2F2	8.0
ID3	353.0
RPL11	4838.0
ELOA	100.0
PITHD1	204.0
LYPLA2	150.0
GALE	369.0
HMGCL	173.0
FUCA1	216.0
CNR2	1.0
PNRC2	282.0
SRSF10	471.0
MYOM3	2.0
IL22RA1	2.0
IFNLR1	7.0
GRHL3	13.0
STPG1	14.0
NIPAL3	64.0
RCAN3	40.0
NCMAP	12.0
SRRM1	170.0
CLIC4	782.0
RUNX3	60.0
SYF2	401.0
RSRP1	611.0
RHD	0.0
TMEM50A	602.0
RHCE	3.0
MACO1	68.0
LDLRAP1	83.0
MAN1C1	36.0
SELENON	184.0
MTFR1L	170.0
AUNIP	8.0
PAQR7	20.0
STMN1	1442.0
PAFAH2	41.0
EXTL1	10.0
SLC30A2	37.0
TRIM63	1.0
PDIK1L	48.0
FAM110D	5.0
C1orf232	0.0
ZNF593OS	2.0
ZNF593	414.0
CNKSR1	33.0
CATSPER4	0.0
CEP85	44.0
SH3BGRL3	610.0
UBXN11	55.0
CD52	205.0
CRYBG2	21.0
ZNF683	3.0
LIN28A	1.0
DHDDS	71.0
HMGN2	1904.0
RPS6KA1	170.0
ARID1A	370.0
PIGV	95.0
ZDHHC18	44.0
SFN	45.0
GPN2	96.0
GPATCH3	59.0
NUDC	319.0
NR0B2	0.0
KDF1	57.0
TRNP1	35.0
TENT5B	9.0
SLC9A1	44.0
WDTC1	82.0
TMEM222	122.0
SYTL1	115.0
MAP3K6	77.0
FCN3	13.0
CD164L2	9.0
GPR3	0.0
WASF2	336.0
AHDC1	110.0
FGR	72.0
IFI6	228.0
FAM76A	37.0
STX12	133.0
PPP1R8	128.0
THEMIS2	217.0
RPA2	280.0
SMPDL3B	128.0
XKR8	23.0
EYA3	40.0
PTAFR	65.0
DNAJC8	310.0
ATP5IF1	1159.0
SESN2	35.0
MED18	68.0
PHACTR4	151.0
RCC1	91.0
TRNAU1AP	102.0
TAF12	104.0
RAB42	8.0
GMEB1	30.0
YTHDF2	377.0
OPRD1	0.0
EPB41	84.0
TMEM200B	16.0
SRSF4	186.0
MECR	61.0
PTPRU	216.0
ENSG00000289710	0.0
MATN1	2.0
LAPTM5	1084.0
SDC3	78.0
PUM1	502.0
NKAIN1	0.0
SNRNP40	48.0
ZCCHC17	164.0
FABP3	81.0
SERINC2	175.0
TINAGL1	33.0
HCRTR1	0.0
PEF1	177.0
COL16A1	798.0
ADGRB2	52.0
SPOCD1	16.0
PTP4A2	611.0
ENSG00000288678	0.0
KHDRBS1	602.0
TMEM39B	50.0
KPNA6	65.0
TXLNA	216.0
CCDC28B	111.0
IQCC	9.0
DCDC2B	1.0
TMEM234	67.0
EIF3I	509.0
FAM167B	20.0
LCK	10.0
HDAC1	218.0
MARCKSL1	317.0
TSSK3	0.0
FAM229A	24.0
BSDC1	174.0
ZBTB8B	2.0
ZBTB8A	60.0
ZBTB8OS	219.0
RBBP4	370.0
SYNC	77.0
KIAA1522	367.0
YARS1	133.0
S100PBP	88.0
FNDC5	9.0
HPCA	0.0
TMEM54	69.0
RNF19B	86.0
AK2	606.0
AZIN2	48.0
TRIM62	14.0
ZNF362	55.0
A3GALT2	0.0
PHC2	631.0
ZSCAN20	7.0
CSMD2	55.0
HMGB4	0.0
C1orf94	0.0
SMIM12	158.0
GJB5	2.0
GJB4	1.0
GJB3	2.0
GJA4	64.0
DLGAP3	3.0
TMEM35B	281.0
ZMYM6	79.0
ZMYM1	40.0
SFPQ	804.0
ZMYM4	147.0
KIAA0319L	145.0
NCDN	42.0
TFAP2E	6.0
PSMB2	557.0
C1orf216	34.0
CLSPN	23.0
AGO4	103.0
AGO1	116.0
AGO3	89.0
TEKT2	2.0
ADPRS	130.0
COL8A2	164.0
TRAPPC3	361.0
MAP7D1	301.0
THRAP3	243.0
SH3D21	40.0
EVA1B	136.0
STK40	98.0
LSM10	162.0
OSCP1	31.0
MRPS15	217.0
CSF3R	62.0
GRIK3	44.0
ZC3H12A	29.0
MEAF6	225.0
SNIP1	66.0
DNALI1	100.0
GNL2	129.0
RSPO1	4.0
C1orf109	91.0
CDCA8	20.0
EPHA10	2.0
MANEAL	24.0
YRDC	76.0
C1orf122	350.0
MTF1	48.0
INPP5B	44.0
SF3A3	230.0
FHL3	92.0
UTP11	127.0
POU3F1	0.0
RRAGC	301.0
MYCBP	214.0
GJA9	0.0
RHBDL2	16.0
AKIRIN1	308.0
NDUFS5	1465.0
MACF1	574.0
BMP8A	11.0
PABPC4	430.0
HEYL	37.0
NT5C1A	0.0
HPCAL4	1.0
PPIE	240.0
BMP8B	11.0
OXCT2	4.0
TRIT1	122.0
MYCL	21.0
MFSD2A	34.0
CAP1	481.0
PPT1	311.0
RLF	54.0
TMCO2	0.0
ZMPSTE24	179.0
COL9A2	17.0
SMAP2	91.0
ZFP69B	1.0
ZFP69	11.0
EXO5	26.0
ZNF684	23.0
RIMS3	2.0
NFYC	147.0
KCNQ4	2.0
CITED4	26.0
CTPS1	58.0
SLFNL1	3.0
SCMH1	50.0
FOXO6	9.0
EDN2	5.0
HIVEP3	37.0
ENSG00000284895	0.0
GUCA2B	0.0
GUCA2A	0.0
FOXJ3	133.0
RIMKLA	7.0
ZMYND12	9.0
PPCS	436.0
CCDC30	19.0
PPIH	229.0
YBX1	1401.0
CLDN19	0.0
P3H1	452.0
C1orf50	75.0
TMEM269	1.0
SVBP	198.0
ERMAP	33.0
ZNF691	47.0
SLC2A1	1119.0
CFAP144	6.0
EBNA1BP2	338.0
CFAP57	4.0
TMEM125	96.0
C1orf210	60.0
TIE1	18.0
MPL	0.0
CDC20	75.0
ELOVL1	251.0
MED8	168.0
SZT2	40.0
HYI	54.0
PTPRF	955.0
KDM4A	105.0
ST3GAL3	33.0
ARTN	13.0
IPO13	86.0
DPH2	69.0
ATP6V0B	1580.0
B4GALT2	212.0
CCDC24	95.0
SLC6A9	9.0
KLF17	2.0
KLF18	0.0
DMAP1	126.0
ERI3	262.0
RNF220	143.0
TMEM53	46.0
ARMH1	6.0
KIF2C	38.0
RPS8	15554.0
BEST4	16.0
PLK3	90.0
DYNLT4	2.0
BTBD19	13.0
PTCH2	19.0
EIF2B3	65.0
HECTD3	31.0
UROD	337.0
ZSWIM5	5.0
HPDL	6.0
MUTYH	23.0
TOE1	29.0
TESK2	13.0
CCDC163	26.0
MMACHC	42.0
PRDX1	1180.0
AKR1A1	507.0
NASP	242.0
CCDC17	14.0
GPBP1L1	233.0
TMEM69	76.0
IPP	33.0
MAST2	112.0
PIK3R3	38.0
TSPAN1	120.0
P3R3URF	0.0
POMGNT1	223.0
LURAP1	1.0
RAD54L	19.0
LRRC41	186.0
UQCRH	1801.0
NSUN4	87.0
FAAH	82.0
DMBX1	2.0
TMEM275	0.0
KNCN	0.0
MKNK1	114.0
MOB3C	71.0
ATPAF1	205.0
TEX38	1.0
EFCAB14	261.0
CYP4B1	28.0
CYP4A11	0.0
CYP4X1	11.0
CYP4Z1	1.0
CYP4A22	0.0
PDZK1IP1	236.0
TAL1	7.0
STIL	34.0
CMPK1	391.0
FOXE3	0.0
FOXD2	3.0
TRABD2B	3.0
SLC5A9	0.0
SPATA6	27.0
AGBL4	2.0
BEND5	34.0
ELAVL4	0.0
DMRTA2	0.0
FAF1	86.0
CDKN2C	41.0
C1orf185	0.0
RNF11	416.0
TTC39A	6.0
EPS15	185.0
OSBPL9	163.0
NRDC	189.0
RAB3B	17.0
TXNDC12	186.0
KTI12	51.0
BTF3L4	310.0
ZFYVE9	33.0
CC2D1B	65.0
ORC1	5.0
PRPF38A	147.0
TUT4	144.0
GPX7	187.0
SHISAL2A	3.0
COA7	63.0
ZYG11B	166.0
ZYG11A	2.0
ECHDC2	105.0
SCP2	671.0
PODN	105.0
SLC1A7	0.0
CPT2	81.0
CZIB	199.0
MAGOH	310.0
LRP8	36.0
DMRTB1	0.0
GLIS1	6.0
NDC1	105.0
YIPF1	79.0
DIO1	0.0
IFT25	267.0
LRRC42	113.0
LDLRAD1	30.0
TMEM59	1686.0
TCEANC2	21.0
CDCP2	1.0
CYB5RL	27.0
MRPL37	194.0
SSBP3	248.0
ACOT11	15.0
FAM151A	0.0
MROH7	4.0
TTC4	49.0
PARS2	23.0
TTC22	36.0
LEXM	0.0
DHCR24	386.0
TMEM61	8.0
BSND	0.0
PCSK9	1.0
USP24	130.0
PLPP3	480.0
PRKAA2	99.0
FYB2	18.0
C8A	0.0
C8B	0.0
DAB1	22.0
OMA1	164.0
TACSTD2	479.0
MYSM1	250.0
JUN	417.0
FGGY	98.0
HOOK1	176.0
CYP2J2	12.0
C1orf87	0.0
NFIA	96.0
TM2D1	582.0
PATJ	162.0
L1TD1	6.0
KANK4	5.0
USP1	243.0
DOCK7	233.0
ANGPTL3	0.0
ATG4C	67.0
FOXD3	4.0
ALG6	87.0
ITGB3BP	186.0
EFCAB7	35.0
PGM1	296.0
ROR1	69.0
UBE2U	1.0
CACHD1	111.0
RAVER2	41.0
JAK1	276.0
AK4	345.0
DNAJC6	25.0
LEPROT	627.0
LEPR	19.0
PDE4B	41.0
SGIP1	12.0
DYNLT5	2.0
INSL5	0.0
DNAI4	28.0
MIER1	119.0
SLC35D1	84.0
C1orf141	0.0
IL23R	0.0
IL12RB2	1.0
SERBP1	1519.0
GADD45A	253.0
GNG12	345.0
DIRAS3	12.0
WLS	174.0
RPE65	0.0
DEPDC1	63.0
LRRC7	0.0
LRRC40	125.0
SRSF11	1176.0
ANKRD13C	163.0
CTH	43.0
PTGER3	39.0
ZRANB2	499.0
NEGR1	5.0
LRRIQ3	11.0
FPGT	130.0
TNNI3K	0.0
LRRC53	0.0
ERICH3	1.0
CRYZ	101.0
TYW3	169.0
LHX8	0.0
SLC44A5	32.0
ACADM	215.0
RABGGTB	330.0
MSH4	2.0
ASB17	0.0
ST6GALNAC3	4.0
ST6GALNAC5	81.0
PIGK	172.0
AK5	8.0
ZZZ3	211.0
USP33	332.0
MIGA1	298.0
NEXN	98.0
FUBP1	555.0
DNAJB4	166.0
GIPC2	0.0
PTGFR	6.0
IFI44L	223.0
IFI44	329.0
ADGRL4	87.0
ADGRL2	210.0
TTLL7	15.0
PRKACB	123.0
SAMD13	7.0
DNASE2B	0.0
RPF1	229.0
GNG5	1893.0
SPATA1	30.0
CTBS	242.0
SSX2IP	110.0
LPAR3	536.0
MCOLN2	14.0
DNAI3	0.0
MCOLN3	14.0
SYDE2	9.0
C1orf52	208.0
BCL10	151.0
DDAH1	101.0
CCN1	314.0
ZNHIT6	116.0
COL24A1	21.0
ODF2L	216.0
CLCA2	4.0
CLCA1	0.0
CLCA4	0.0
SH3GLB1	481.0
SELENOF	2137.0
HS2ST1	424.0
LMO4	879.0
PKN2	374.0
GTF2B	258.0
KYAT3	113.0
RBMXL1	142.0
GBP3	54.0
GBP1	186.0
GBP2	237.0
GBP7	0.0
GBP4	50.0
GBP5	38.0
GBP6	1.0
LRRC8B	62.0
ENSG00000288629	0.0
LRRC8C	20.0
LRRC8D	56.0
ZNF326	184.0
BARHL2	2.0
ZNF644	322.0
HFM1	12.0
CDC7	68.0
TGFBR3	39.0
BRDT	0.0
EPHX4	86.0
SETSIP	0.0
BTBD8	56.0
C1orf146	0.0
GLMN	55.0
RPAP2	85.0
GFI1	3.0
EVI5	122.0
RPL5	9457.0
DIPK1A	25.0
MTF2	240.0
TMED5	277.0
CCDC18	16.0
DR1	281.0
FNBP1L	346.0
BCAR3	179.0
DNTTIP2	251.0
GCLM	183.0
ABCA4	23.0
ARHGAP29	347.0
ABCD3	132.0
F3	140.0
SLC44A3	48.0
CNN3	923.0
ALG14	86.0
TLCD4	104.0
RWDD3	132.0
PTBP2	191.0
DPYD	82.0
SNX7	88.0
PLPPR5	1.0
PLPPR4	64.0
PALMD	32.0
FRRS1	55.0
AGL	103.0
SLC35A3	271.0
MFSD14A	424.0
SASS6	59.0
TRMT13	120.0
LRRC39	2.0
DBT	162.0
RTCA	212.0
CDC14A	54.0
GPR88	1.0
VCAM1	529.0
EXTL2	124.0
SLC30A7	268.0
DPH5	114.0
S1PR1	40.0
OLFM3	27.0
COL11A1	1336.0
RNPC3	94.0
AMY2B	65.0
AMY2A	0.0
AMY1A	0.0
AMY1B	0.0
AMY1C	0.0
PRMT6	187.0
NTNG1	12.0
VAV3	194.0
SLC25A24	324.0
NBPF4	0.0
NBPF6	0.0
EEIG2	91.0
HENMT1	49.0
PRPF38B	263.0
FNDC7	0.0
STXBP3	306.0
AKNAD1	0.0
GPSM2	49.0
CLCC1	256.0
WDR47	73.0
TAF13	415.0
TMEM167B	254.0
CFAP276	1.0
ELAPOR1	5.0
SARS1	828.0
CELSR2	363.0
PSRC1	59.0
MYBPHL	20.0
SORT1	773.0
PSMA5	810.0
SYPL2	0.0
ATXN7L2	32.0
CYB561D1	73.0
AMIGO1	8.0
GPR61	0.0
GNAI3	387.0
GNAT2	2.0
AMPD2	131.0
GSTM4	65.0
GSTM2	29.0
GSTM1	24.0
GSTM5	1.0
GSTM3	305.0
EPS8L3	0.0
CSF1	107.0
AHCYL1	974.0
STRIP1	118.0
ALX3	18.0
UBL4B	0.0
SLC6A17	0.0
KCNC4	35.0
RBM15	71.0
SLC16A4	70.0
LAMTOR5	2796.0
PROK1	0.0
KCNA10	0.0
KCNA2	0.0
KCNA3	8.0
CD53	228.0
LRIF1	57.0
DRAM2	218.0
CEPT1	97.0
DENND2D	253.0
CHI3L2	7.0
CHIA	0.0
PIFO	90.0
OVGP1	3.0
WDR77	182.0
ATP5PB	1617.0
C1orf162	71.0
TMIGD3	21.0
ADORA3	19.0
RAP1A	430.0
INKA2	7.0
DDX20	123.0
KCND3	9.0
CTTNBP2NL	176.0
WNT2B	9.0
ST7L	73.0
CAPZA1	583.0
MOV10	190.0
RHOC	1441.0
PPM1J	22.0
TAFA3	17.0
SLC16A1	229.0
LRIG2	105.0
MAGI3	43.0
PHTF1	82.0
RSBN1	138.0
PTPN22	22.0
BCL2L15	4.0
AP4B1	155.0
DCLRE1B	47.0
HIPK1	379.0
OLFML3	347.0
SYT6	1.0
TRIM33	192.0
BCAS2	264.0
DENND2C	7.0
AMPD1	1.0
NRAS	385.0
CSDE1	1701.0
SIKE1	241.0
SYCP1	0.0
TSHB	0.0
TSPAN2	28.0
NGF	2.0
VANGL1	164.0
CASQ2	4.0
NHLH2	0.0
SLC22A15	16.0
MAB21L3	1.0
ATP1A1	1205.0
CD58	205.0
IGSF3	150.0
CD2	26.0
PTGFRN	673.0
CD101	1.0
TTF2	82.0
TRIM45	59.0
VTCN1	166.0
MAN1A2	296.0
TENT5C	52.0
GDAP2	70.0
WDR3	184.0
SPAG17	24.0
TBX15	2.0
WARS2	70.0
HAO2	0.0
HSD3B2	0.0
HSD3B1	0.0
ZNF697	56.0
PHGDH	195.0
HMGCS2	0.0
REG4	0.0
ADAM30	0.0
NOTCH2	1133.0
SEC22B	385.0
NBPF8	5.0
NOTCH2NLR	2.0
NBPF26	7.0
PPIAL4A	1.0
FAM72B	3.0
SRGAP2C	57.0
H3-7	12.0
FAM72C	1.0
PPIAL4E	0.0
NBPF15	6.0
PPIAL4F	0.0
SRGAP2B	27.0
FAM72D	16.0
PPIAL4D	0.0
NBPF20	30.0
GPR89A	52.0
PDZK1	17.0
CD160	2.0
RNF115	225.0
POLR3C	176.0
NUDT17	55.0
PIAS3	193.0
ANKRD35	12.0
ITGA10	14.0
PEX11B	163.0
RBM8A	2474.0
LIX1L	183.0
ANKRD34A	4.0
POLR3GL	189.0
TXNIP	2418.0
HJV	0.0
NBPF10	4.0
NOTCH2NLA	90.0
PPIAL4H	0.0
NBPF12	46.0
PRKAB2	152.0
FMO5	16.0
CHD1L	48.0
BCL9	100.0
ENSG00000288626	0.0
ACP6	114.0
GJA5	19.0
GJA8	1.0
GPR89B	39.0
NBPF11	45.0
PPIAL4G	2.0
NBPF14	11.0
NOTCH2NLB	0.0
NUDT4B	22.0
PDE4DIP	265.0
NBPF9	81.0
NOTCH2NLC	20.0
NBPF19	65.0
PPIAL4C	0.0
FCGR1A	50.0
H2BC18	1.0
H3C13	0.0
H4C14	19.0
H3C14	0.0
H2AC18	34.0
H2AC19	35.0
H3C15	0.0
H4C15	0.0
H2BC21	176.0
H2AC20	44.0
H2AC21	0.0
BOLA1	513.0
SV2A	18.0
SF3B4	254.0
MTMR11	58.0
OTUD7B	125.0
VPS45	156.0
PLEKHO1	175.0
ANP32E	329.0
CA14	2.0
APH1A	1072.0
C1orf54	95.0
CIART	38.0
MRPS21	1991.0
PRPF3	126.0
RPRD2	229.0
TARS2	116.0
ECM1	281.0
ADAMTSL4	37.0
MCL1	1482.0
ENSA	876.0
GOLPH3L	180.0
HORMAD1	1.0
CTSS	799.0
CTSK	870.0
ARNT	158.0
CTXND2	3.0
SETDB1	191.0
CERS2	533.0
ANXA9	35.0
MINDY1	62.0
PRUNE1	124.0
BNIPL	27.0
C1orf56	111.0
CDC42SE1	501.0
MLLT11	56.0
GABPB2	85.0
SEMA6C	67.0
TNFAIP8L2	13.0
SCNM1	295.0
LYSMD1	35.0
TMOD4	3.0
VPS72	186.0
PIP5K1A	379.0
PSMD4	885.0
ZNF687	130.0
PI4KB	388.0
RFX5	130.0
SELENBP1	426.0
PSMB4	2251.0
POGZ	370.0
CGN	167.0
TUFT1	85.0
SNX27	193.0
CELF3	0.0
RIIAD1	0.0
MRPL9	236.0
OAZ3	14.0
TDRKH	78.0
LINGO4	5.0
RORC	200.0
C2CD4D	0.0
THEM5	2.0
THEM4	132.0
S100A10	4422.0
S100A11	5528.0
TCHHL1	0.0
TCHH	4.0
RPTN	0.0
HRNR	0.0
FLG	224.0
FLG2	0.0
CRNN	0.0
LCE5A	1.0
CRCT1	0.0
LCE3E	1.0
LCE3D	0.0
LCE3C	0.0
LCE3B	0.0
LCE3A	0.0
LCE2D	0.0
LCE2C	0.0
LCE2B	0.0
LCE2A	0.0
LCE4A	0.0
C1orf68	0.0
KPRP	0.0
LCE1F	0.0
LCE1E	0.0
LCE1D	0.0
LCE1C	0.0
LCE1B	0.0
LCE1A	0.0
LCE6A	0.0
LCE7A	0.0
SMCP	0.0
IVL	0.0
SPRR5	0.0
SPRR4	0.0
SPRR1A	0.0
SPRR3	0.0
SPRR1B	0.0
SPRR2D	0.0
SPRR2A	0.0
SPRR2B	0.0
SPRR2E	0.0
SPRR2F	2.0
SPRR2G	0.0
LELP1	0.0
PRR9	3.0
LORICRIN	1.0
PGLYRP3	1.0
PGLYRP4	4.0
S100A9	1230.0
S100A12	0.0
S100A8	467.0
S100A7A	3.0
S100A7	3.0
S100A6	76279.0
S100A5	90.0
S100A4	22459.0
S100A3	60.0
S100A2	1368.0
S100A16	3190.0
S100A14	1076.0
S100A13	9928.0
S100A1	1334.0
CHTOP	468.0
SNAPIN	625.0
ILF2	1723.0
NPR1	552.0
INTS3	373.0
SLC27A3	194.0
GATAD2B	157.0
DENND4B	203.0
CRTC2	142.0
SLC39A1	782.0
CREB3L4	198.0
JTB	1825.0
RAB13	599.0
RPS27	22866.0
NUP210L	2.0
TPM3	1295.0
CFAP141	0.0
C1orf43	1167.0
UBAP2L	282.0
HAX1	616.0
AQP10	0.0
ATP8B2	129.0
IL6R	71.0
SHE	7.0
TDRD10	3.0
UBE2Q1	453.0
CHRNB2	0.0
ADAR	1175.0
KCNN3	14.0
PMVK	958.0
PBXIP1	491.0
PYGO2	179.0
SHC1	703.0
CKS1B	1353.0
FLAD1	251.0
LENEP	0.0
ZBTB7B	206.0
DCST2	2.0
DCST1	0.0
ADAM15	266.0
EFNA4	158.0
EFNA3	77.0
EFNA1	738.0
SLC50A1	759.0
DPM3	1467.0
KRTCAP2	1397.0
TRIM46	25.0
MUC1	6785.0
THBS3	422.0
MTX1	630.0
GBA1	24.0
ENTREP3	282.0
SCAMP3	344.0
CLK2	378.0
HCN3	58.0
PKLR	1.0
FDPS	1696.0
RUSC1	158.0
ASH1L	405.0
MSTO1	169.0
YY1AP1	208.0
DAP3	491.0
GON4L	126.0
SYT11	234.0
RIT1	300.0
KHDC4	511.0
RXFP4	1.0
ARHGEF2	412.0
SSR2	1780.0
UBQLN4	175.0
LAMTOR2	971.0
RAB25	39.0
MEX3A	127.0
LMNA	1682.0
SEMA4A	15.0
SLC25A44	79.0
PMF1	442.0
BGLAP	61.0
PAQR6	18.0
SMG5	447.0
TMEM79	38.0
GLMP	493.0
VHLL	0.0
CCT3	1456.0
TSACC	17.0
RHBG	0.0
MEF2D	160.0
IQGAP3	17.0
TTC24	0.0
NAXE	1085.0
GPATCH4	161.0
HAPLN2	0.0
BCAN	7.0
NES	207.0
CRABP2	3423.0
ISG20L2	169.0
METTL25B	129.0
MRPL24	668.0
HDGF	840.0
PRCC	154.0
SH2D2A	25.0
NTRK1	8.0
INSRR	0.0
PEAR1	50.0
LRRC71	0.0
ARHGEF11	110.0
ETV3L	0.0
ETV3	135.0
FCRL5	1.0
FCRL4	0.0
FCRL3	0.0
FCRL2	1.0
FCRL1	0.0
CD5L	0.0
KIRREL1	250.0
SMIM42	0.0
CD1D	24.0
CD1A	0.0
CD1C	0.0
CD1B	0.0
CD1E	0.0
OR10T2	0.0
OR10K2	0.0
OR10K1	0.0
OR10R2	0.0
OR6Y1	0.0
OR6P1	0.0
OR10X1	0.0
OR10Z1	0.0
SPTA1	1.0
OR6K2	0.0
OR6K3	0.0
OR6N1	0.0
OR6K6	0.0
OR6N2	0.0
MNDA	30.0
PYHIN1	2.0
IFI16	464.0
PYDC5	0.0
AIM2	7.0
CADM3	62.0
ACKR1	11.0
FCER1A	3.0
OR10J3	0.0
OR10J4	0.0
OR10J1	0.0
OR10J5	0.0
APCS	0.0
CRP	0.0
